Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C86","1uF","C_0402_1005Metric",39.0000,-118.2500,210.0000,top
"C87","1uF","C_0402_1005Metric",35.2000,-115.5000,240.0000,top
"C88","1uF","C_0402_1005Metric",30.5000,-115.0600,270.0000,top
"C89","1uF","C_0402_1005Metric",26.1900,-116.9327,300.0000,top
"C90","1uF","C_0402_1005Metric",23.5000,-120.8000,330.0000,top
"C91","1uF","C_0402_1005Metric",23.0000,-125.5000,0.0000,top
"C92","1uF","C_0402_1005Metric",25.0000,-129.7500,30.0000,top
"C93","1uF","C_0402_1005Metric",28.8000,-132.5000,60.0000,top
"C94","1uF","C_0402_1005Metric",33.5000,-133.0300,90.0000,top
"C95","1uF","C_0402_1005Metric",37.8000,-131.0673,120.0000,top
"C96","1uF","C_0402_1005Metric",40.5500,-127.2500,150.0000,top
"C97","1uF","C_0402_1005Metric",93.0000,-53.0000,270.0000,top
"C98","1uF","C_0402_1005Metric",118.0000,-53.0000,90.0000,top
"D1","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",154.0000,-39.0000,180.0000,top
"D2","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",152.7942,-34.5000,210.0000,top
"D3","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",149.5000,-31.2058,240.0000,top
"D4","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",145.0000,-30.0000,270.0000,top
"D5","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",140.5000,-31.2058,300.0000,top
"D6","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",137.2058,-34.5000,330.0000,top
"D7","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",136.0000,-39.0000,0.0000,top
"D8","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",137.2058,-43.5000,30.0000,top
"D9","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",140.5000,-46.7942,60.0000,top
"D10","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",145.0000,-48.0000,90.0000,top
"D11","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",149.5000,-46.7942,120.0000,top
"D12","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",152.7942,-43.5000,150.0000,top
"D13","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",191.0000,-72.0000,180.0000,top
"D14","SK6812_EC15","LED_SK6812_EC15_1.5x1.5mm",189.7942,-67.5000,210.0000,top
